"Species","Treat.Code","Subplot","PC.F","L","g","sb","m","Fe","log.L"
"AGHE","D","Grass",-0.876427664975023,3.82319940852841,0.663531,0.010339,0.393337704827573,9.49001879973402,1.57343748556252
"AGHE","D","No Grass",-0.876427664975023,12.1296954303992,0.664214,0.010733,0.306087230353552,26.3068043700238,2.57487649157949
"AGHE","C","Grass",-0.876427664975023,6.75541988414768,0.663668,0.010542,0.173084205639511,12.3037255631649,2.04839193883109
"AGHE","C","No Grass",-0.876427664975023,11.6870243087121,0.663515,0.010586,0.148467235121821,20.6784359297063,2.54057976318974
"AGHE","W","Grass",-0.876427664975023,7.77368031592473,0.664257,0.010455,0.143477995424141,13.6569875531845,2.17175636669441
"AGHE","W","No Grass",-0.876427664975023,13.8133688424948,0.663391,0.010558,0.145750457609631,24.3661548107556,2.69553007320856
"CAPA","D","Grass",1.54518049907422,2.75780536617928,0.425238,0.537571,0.599385330728295,14.3743446913567,1.32383510778714
"CAPA","D","No Grass",1.54518049907422,8.03294620265064,0.425341,0.538434,0.360974440484361,28.4317298655443,2.20087858250408
"CAPA","C","Grass",1.54518049907422,1.83842512856772,0.424769,0.539863,0.627873722159971,9.66391323179627,1.04324936616881
"CAPA","C","No Grass",1.54518049907422,2.47668688788386,0.424734,0.538568,0.563065667949716,11.6760532328026,1.24607979659339
"CAPA","W","Grass",1.54518049907422,2.23871961135527,0.425472,0.539218,0.497169461526979,9.01639997616761,1.17517807001891
"CAPA","W","No Grass",1.54518049907422,3.62131726361966,0.426441,0.53927,0.334348577402466,11.667955306714,1.53067978644969
"CLPU","D","Grass",0.605290877224273,3.30254212968354,0.519699,0.562589,0.520316366609884,12.1589351108928,1.45920604096347
"CLPU","D","No Grass",0.605290877224273,9.68623011403958,0.519291,0.562425,0.337314937155938,27.3674050341283,2.36895600746427
"CLPU","C","Grass",0.605290877224273,3.41154295360401,0.520058,0.562688,0.429066214945138,10.5766078368503,1.48422450436707
"CLPU","C","No Grass",0.605290877224273,5.01419169678304,0.519816,0.563147,0.372274069148265,14.53885692907,1.79412195914697
"CLPU","W","Grass",0.605290877224273,3.95091611089638,0.520509,0.562952,0.331522354799772,10.5773679311741,1.59957263236508
"CLPU","W","No Grass",0.605290877224273,6.34457503546504,0.519596,0.562459,0.247675732512706,15.5398622213499,1.99396195028899
"HECO","D","Grass",1.3751567558586,2.80674026988828,0.442648,0.430369,0.585792579843775,13.9850045833054,1.33677325072001
"HECO","D","No Grass",1.3751567558586,8.23144065840962,0.440977,0.431485,0.356303506019327,28.141837721271,2.2226151206696
"HECO","C","Grass",1.3751567558586,2.01209253023676,0.442227,0.430774,0.593132171681261,9.84910358055578,1.10263502999592
"HECO","C","No Grass",1.3751567558586,2.76419017587762,0.441591,0.430937,0.528533012711124,12.1231860904192,1.32553274538771
"HECO","W","Grass",1.3751567558586,2.43321918621126,0.442245,0.430174,0.466218848446667,9.29684805872344,1.23349835928021
"HECO","W","No Grass",1.3751567558586,3.96240427731458,0.442822,0.430864,0.316904472360689,12.3091345385774,1.60189035662114
"LACA","D","Grass",-1.63466778080532,4.20101451236954,0.727718,0.465147,0.334261711903509,8.41073744231251,1.64885370509074
"LACA","D","No Grass",-1.63466778080532,13.6216445929598,0.728077,0.465221,0.292474483116645,26.1898181241918,2.68250293725373
"LACA","C","Grass",-1.63466778080532,8.89615096734331,0.728105,0.46595,0.0982953493163311,13.3587144897552,2.29214589036422
"LACA","C","No Grass",-1.63466778080532,16.7150975312664,0.728797,0.465152,0.0857237234821756,24.8967913925708,2.87441724387758
"LACA","W","Grass",-1.63466778080532,10.4856680356379,0.728572,0.46406,0.0882083150853823,15.5920185670009,2.44110000037355
"LACA","W","No Grass",-1.63466778080532,20.0735759738328,0.727823,0.464585,0.109017110999722,30.7585141754118,3.0480199321546
"PLER","D","Grass",-1.01453268637674,4.1314576925123,0.676934,0.82941,0.382529903342394,9.24526188272624,1.63538976940674
"PLER","D","No Grass",-1.01453268637674,12.6619487274622,0.676342,0.828763,0.302204784407753,26.2640440430317,2.61461450337202
"PLER","C","Grass",-1.01453268637674,7.39638895762594,0.676207,0.828734,0.15696055562545,12.50304571941,2.12780172742488
"PLER","C","No Grass",-1.01453268637674,12.7900285508497,0.676321,0.828813,0.134611980491559,21.3955119782817,2.62394576220551
"PLER","W","Grass",-1.01453268637674,8.48009939072409,0.676618,0.829445,0.131807719645799,13.9793270656772,2.24919480046557
"PLER","W","No Grass",-1.01453268637674,15.0493414983475,0.676223,0.828603,0.138678200655724,25.3815980213458,2.77566782059401
